|燈,照明,lighting,燈具,luminaire,lamp,Fluorescent,投光燈,light bar|熄燈||照明|
|散熱,thermal,熱導管,Heat pipe,heat dissipation,heat sink,熱板,Vapor Chamber,熱傳導|||散熱,thermal_management|
|Despatch Industries|||散熱,thermal_management,公司|
|OTP,Thermal Shutdown|||thermal_management|
|功耗,功率消耗,power|PowerChip||power,energy|
|功率因數,\bPF\b,power factor|||power,ratio|
|\bT5\b,\bT8\b,\bT9\b|福斯,藍魔,手機,DSC,輸入法||照明|
|路燈,street lamp,street light,道路照明,高壓鈉燈,\bHID\b,HIPsodium lamp|||路燈,照明|
|數位看板,數位電子看板,顯示看板,廣告看板,廣告燈|||廣告,光電,LED|
|Ruud Lighting,Beta Lighting,Beta\s?LED,光林電子,陽傑,新強,NeoPac,鑫源盛,光鼎,玉晶光,台達電,能緹,齊瀚光電,超眾,天鈺,鴻準,力瑪科技,大同,華鼎,悠廣|電廠||路燈,照明,LED,公司|
|威力盟,達方,Darfon|||照明,CCFL,背光,光電,公司|
|專利,patent,侵權|||patent|
|CNS|||standard,Taiwan|
|DIN 6169,CNS[-\s]*14335,IEC.*620,IEC.*61,IEC.*60|||standard,照明,光電,color|
|CNS15233,CNS 15233,IESNA,照明規範,CIE127,CIE 127,JLEDS,CJJ 45-20|||standard,路燈,照明,光電,LED,green|
|\bISO\b,IEEE,IEC,\bDIN\b,VDE,JIS,CSA,EIA,\bANSI\b,ASTM,AATCC,VESA,國家標準,標準局,標準檢驗局,規範,驗證要求,認證要求,\bUL\b,TUV,KATS,CIE,RoHS,設計標準,CJJ,基準,\bSRRC\b|||standard|
|電子紙,e[-\s]*paper,\bEPD\b,電泳,電子書,\beBook\b,e[-\s]ink,electronic ink,reflective LCD|Facebook||電子紙,新型顯示器,消費性|
|Amazon,亞馬遜,Kindle,iRex,Sony PRS,Sony Librie,Sony Reader,Sony 電子書,振曜,Astak,Bookeen,Hanlin,Eslick,FBReader,Jetbook,Pixel Qi|||電子紙,新型顯示器,消費性,公司|
|顯示器,display,監視器,monitor|||顯示器|
|燃料,fuel cell,fuel-cell|||fuel cell,energy,green|
|IEC 62282-2|||standard,fuel cell,energy,green|
|電池,battery|||電池,energy|
|湯淺,台灣神戶,廣隆光電|||電池,energy,公司|
|鋰電,鋰離子,Li-ion,鋰高分子|||Li,電池,energy|
|磷酸鋰鐵,鋰鐵磷,鋰鐵,LiFePO4|||Li,LiFePO4,電池,energy|
|John Goodenough,\bA123\b,Phostech,Valence,必翔電能,能元科技,有量科技,蘭陽科技,宏瀨科技,尚志精密|||Li,LiFePO4,電池,energy,公司|
|玻璃,glass|||glass,材料|
|康寧,Corning|||glass,材料,FPD,光電,公司|
|EVA|eva\w||EVA,材料|
|\bTV\b,\bＴＶ\b,電視,\bIPTV\b,television,3.*D眼鏡|||TV,消費性|
|\bSTB\b,Set[-\s]*Top[-\s]*Box,\bIP[-\s]*STB\b,TiVo,SlingBox,SlingMedia|||STB,TV,消費性|
